Dataset Name,Algorithm Name,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR Curve,Predict Probability,Predict Model,True Label,Training Time,Inference Time
analcatdata_olympic2000,XGBoost meta learning,,1.0,1,0,1, , ,0.9052,Ensemble Genetic Programming,Ensemble Genetic Programming,50220 microseconds,8830 microseconds
analcatdata_runshoes,XGBoost meta learning,,1.0,1,0,1, , ,0.9886,Ensemble Genetic Programming,Ensemble Genetic Programming,76332 microseconds,11147 microseconds
analcatdata_seropositive,XGBoost meta learning,,1.0,1,0,1, , ,0.8714,Ensemble Genetic Programming,Ensemble Genetic Programming,90627 microseconds,10128 microseconds
analcatdata_vehicle,XGBoost meta learning,,1.0,1,0,1, , ,0.9683,Ensemble Genetic Programming,Ensemble Genetic Programming,150698 microseconds,11543 microseconds
analcatdata_vineyard,XGBoost meta learning,,1.0,1,0,1, , ,0.9706,Ensemble Genetic Programming,Ensemble Genetic Programming,104933 microseconds,7387 microseconds
analcatdata_wildcat,XGBoost meta learning,,0.0,0,1,0, , ,0.9977,Ensemble Genetic Programming,Extra Tree Regressor,92490 microseconds,10015 microseconds
arsenic_female_bladder,XGBoost meta learning,,1.0,1,0,1, , ,0.7107,Ensemble Genetic Programming,Ensemble Genetic Programming,99580 microseconds,7416 microseconds
auto_price,XGBoost meta learning,,1.0,1,0,1, , ,0.9570,Ensemble Genetic Programming,Ensemble Genetic Programming,80225 microseconds,8989 microseconds
auto93,XGBoost meta learning,,1.0,1,0,1, , ,0.9099,Ensemble Genetic Programming,Ensemble Genetic Programming,59024 microseconds,7365 microseconds
autoHorse,XGBoost meta learning,,1.0,1,0,1, , ,0.9698,Ensemble Genetic Programming,Ensemble Genetic Programming,47102 microseconds,9097 microseconds
Automobile,XGBoost meta learning,,1.0,1,0,1, , ,0.9708,Ensemble Genetic Programming,Ensemble Genetic Programming,48041 microseconds,7468 microseconds
autoMpg,XGBoost meta learning,,1.0,1,0,1, , ,0.9535,Ensemble Genetic Programming,Ensemble Genetic Programming,53388 microseconds,10430 microseconds
baseball_team,XGBoost meta learning,,1.0,1,0,1, , ,0.9714,Ensemble Genetic Programming,Ensemble Genetic Programming,71206 microseconds,7298 microseconds
baskball,XGBoost meta learning,,1.0,1,0,1, , ,0.9945,Ensemble Genetic Programming,Ensemble Genetic Programming,44508 microseconds,7425 microseconds
Bike_Sharing_in_Washington_kaggle,XGBoost meta learning,,1.0,1,0,1, , ,0.7322,Ensemble Genetic Programming,Ensemble Genetic Programming,53438 microseconds,7409 microseconds
bolts,XGBoost meta learning,,0.0,0,1,0, , ,0.9939,Ensemble Genetic Programming,Extra Tree Regressor,103521 microseconds,9606 microseconds
boston,XGBoost meta learning,,1.0,1,0,1, , ,0.9517,Ensemble Genetic Programming,Ensemble Genetic Programming,50296 microseconds,7518 microseconds
breastTumor,XGBoost meta learning,,1.0,1,0,1, , ,0.9902,Ensemble Genetic Programming,Ensemble Genetic Programming,52041 microseconds,7516 microseconds
cholesterol,XGBoost meta learning,,1.0,1,0,1, , ,0.8958,Ensemble Genetic Programming,Ensemble Genetic Programming,47777 microseconds,7214 microseconds
chscase_census2,XGBoost meta learning,,0.0,0,1,0, , ,0.2479,Extra Tree Regressor,Ensemble Genetic Programming,84128 microseconds,10154 microseconds
cocomo_numeric,XGBoost meta learning,,1.0,1,0,1, , ,0.6183,Ensemble Genetic Programming,Ensemble Genetic Programming,109970 microseconds,9736 microseconds
Concrete_Data_Yeh_kaggle,XGBoost meta learning,,1.0,1,0,1, , ,0.9849,Ensemble Genetic Programming,Ensemble Genetic Programming,67336 microseconds,7236 microseconds
cps_85_wages,XGBoost meta learning,,1.0,1,0,1, , ,0.9878,Ensemble Genetic Programming,Ensemble Genetic Programming,50481 microseconds,7423 microseconds
cpu_with_vendor,XGBoost meta learning,,1.0,1,0,1, , ,0.8356,Ensemble Genetic Programming,Ensemble Genetic Programming,42536 microseconds,7491 microseconds
Crash,XGBoost meta learning,,1.0,1,0,1, , ,0.9693,Ensemble Genetic Programming,Ensemble Genetic Programming,47046 microseconds,7294 microseconds
detroit,XGBoost meta learning,,1.0,1,0,1, , ,0.9912,Ensemble Genetic Programming,Ensemble Genetic Programming,41910 microseconds,9675 microseconds
diabetes_numeric,XGBoost meta learning,,1.0,1,0,1, , ,0.9345,Ensemble Genetic Programming,Ensemble Genetic Programming,51626 microseconds,8688 microseconds
diggle_table_a1,XGBoost meta learning,,1.0,1,0,1, , ,0.9871,Ensemble Genetic Programming,Ensemble Genetic Programming,56715 microseconds,7691 microseconds
disclosure_x_tampered,XGBoost meta learning,,1.0,1,0,1, , ,0.9068,Ensemble Genetic Programming,Ensemble Genetic Programming,52059 microseconds,9193 microseconds
echoMonths,XGBoost meta learning,,0.0,0,1,0, , ,0.9762,Ensemble Genetic Programming,Extra Tree Regressor,45531 microseconds,8114 microseconds
EgyptianSkulls,XGBoost meta learning,,0.0,0,1,0, , ,0.3615,Extra Tree Regressor,Ensemble Genetic Programming,55812 microseconds,9198 microseconds
ERA,XGBoost meta learning,,1.0,1,0,1, , ,0.9733,Ensemble Genetic Programming,Ensemble Genetic Programming,123077 microseconds,9566 microseconds
FacultySalaries,XGBoost meta learning,,1.0,1,0,1, , ,0.9907,Ensemble Genetic Programming,Ensemble Genetic Programming,44756 microseconds,7164 microseconds
fishcatch,XGBoost meta learning,,1.0,1,0,1, , ,0.9889,Ensemble Genetic Programming,Ensemble Genetic Programming,59918 microseconds,7202 microseconds
forest_fires,XGBoost meta learning,,1.0,1,0,1, , ,0.9950,Ensemble Genetic Programming,Ensemble Genetic Programming,43324 microseconds,7208 microseconds
fri_c2_100_25,XGBoost meta learning,,1.0,1,0,1, , ,0.9852,Ensemble Genetic Programming,Ensemble Genetic Programming,48774 microseconds,8466 microseconds
fruitfly,XGBoost meta learning,,0.0,0,1,0, , ,0.9969,Ensemble Genetic Programming,Extra Tree Regressor,47561 microseconds,8190 microseconds
gascons,XGBoost meta learning,,0.0,0,1,0, , ,0.2477,Extra Tree Regressor,Ensemble Genetic Programming,47901 microseconds,7326 microseconds
happinessRank_2015,XGBoost meta learning,,0.0,0,1,0, , ,0.8417,Ensemble Genetic Programming,Extra Tree Regressor,48849 microseconds,9136 microseconds
house_prices_kaggle,XGBoost meta learning,,1.0,1,0,1, , ,0.9738,Ensemble Genetic Programming,Ensemble Genetic Programming,44244 microseconds,7405 microseconds
hutsof99_child_witness,XGBoost meta learning,,1.0,1,0,1, , ,0.9925,Ensemble Genetic Programming,Ensemble Genetic Programming,43262 microseconds,7162 microseconds
hutsof99_logis,XGBoost meta learning,,1.0,1,0,1, , ,0.9961,Ensemble Genetic Programming,Ensemble Genetic Programming,52637 microseconds,8319 microseconds
ICU,XGBoost meta learning,,1.0,1,0,1, , ,0.9882,Ensemble Genetic Programming,Ensemble Genetic Programming,49130 microseconds,8812 microseconds
IMDB_Movie_Data_kaggle,XGBoost meta learning,,1.0,1,0,1, , ,0.9381,Ensemble Genetic Programming,Ensemble Genetic Programming,46443 microseconds,7970 microseconds
iq_brain_size,XGBoost meta learning,,1.0,1,0,1, , ,0.9955,Ensemble Genetic Programming,Ensemble Genetic Programming,85694 microseconds,12852 microseconds
kc1_numeric,XGBoost meta learning,,1.0,1,0,1, , ,0.9906,Ensemble Genetic Programming,Ensemble Genetic Programming,105023 microseconds,7578 microseconds
kdd_coil_7,XGBoost meta learning,,1.0,1,0,1, , ,0.7728,Ensemble Genetic Programming,Ensemble Genetic Programming,63735 microseconds,10180 microseconds
liver_disorders,XGBoost meta learning,,1.0,1,0,1, , ,0.9495,Ensemble Genetic Programming,Ensemble Genetic Programming,127070 microseconds,7569 microseconds
longley,XGBoost meta learning,,1.0,1,0,1, , ,0.8272,Ensemble Genetic Programming,Ensemble Genetic Programming,58511 microseconds,8916 microseconds
machine_cpu,XGBoost meta learning,,1.0,1,0,1, , ,0.9762,Ensemble Genetic Programming,Ensemble Genetic Programming,60624 microseconds,7280 microseconds
mbagrade,XGBoost meta learning,,0.0,0,1,0, , ,0.9592,Ensemble Genetic Programming,Extra Tree Regressor,43946 microseconds,7192 microseconds
MercuryinBass,XGBoost meta learning,,1.0,1,0,1, , ,0.9181,Ensemble Genetic Programming,Ensemble Genetic Programming,59848 microseconds,8076 microseconds
mu284,XGBoost meta learning,,0.0,0,1,0, , ,0.9072,Ensemble Genetic Programming,Extra Tree Regressor,45813 microseconds,7978 microseconds
nasa_numeric,XGBoost meta learning,,0.0,0,1,0, , ,0.5529,Ensemble Genetic Programming,Extra Tree Regressor,48681 microseconds,7630 microseconds
nflpass,XGBoost meta learning,,1.0,1,0,1, , ,0.8773,Ensemble Genetic Programming,Ensemble Genetic Programming,54675 microseconds,7512 microseconds
papir_2,XGBoost meta learning,,1.0,1,0,1, , ,0.9912,Ensemble Genetic Programming,Ensemble Genetic Programming,54805 microseconds,8965 microseconds
pbc,XGBoost meta learning,,1.0,1,0,1, , ,0.9375,Ensemble Genetic Programming,Ensemble Genetic Programming,51966 microseconds,7669 microseconds
pharynx,XGBoost meta learning,,0.0,0,1,0, , ,0.9917,Ensemble Genetic Programming,Extra Tree Regressor,49031 microseconds,7324 microseconds
places,XGBoost meta learning,,1.0,1,0,1, , ,0.9966,Ensemble Genetic Programming,Ensemble Genetic Programming,46685 microseconds,7423 microseconds
pollution,XGBoost meta learning,,1.0,1,0,1, , ,0.9064,Ensemble Genetic Programming,Ensemble Genetic Programming,52408 microseconds,9072 microseconds
pubexpendat,XGBoost meta learning,,1.0,1,0,1, , ,0.9441,Ensemble Genetic Programming,Ensemble Genetic Programming,47844 microseconds,7461 microseconds
pwLinear,XGBoost meta learning,,1.0,1,0,1, , ,0.9364,Ensemble Genetic Programming,Ensemble Genetic Programming,46677 microseconds,8730 microseconds
pyrim,XGBoost meta learning,,1.0,1,0,1, , ,0.9947,Ensemble Genetic Programming,Ensemble Genetic Programming,48613 microseconds,7446 microseconds
quake,XGBoost meta learning,,0.0,0,1,0, , ,0.9711,Ensemble Genetic Programming,Extra Tree Regressor,53036 microseconds,7536 microseconds
rmftsa_ladata,XGBoost meta learning,,1.0,1,0,1, , ,0.9955,Ensemble Genetic Programming,Ensemble Genetic Programming,108270 microseconds,13533 microseconds
sensory,XGBoost meta learning,,1.0,1,0,1, , ,0.9859,Ensemble Genetic Programming,Ensemble Genetic Programming,152443 microseconds,14658 microseconds
servo,XGBoost meta learning,,1.0,1,0,1, , ,0.8761,Ensemble Genetic Programming,Ensemble Genetic Programming,154897 microseconds,9817 microseconds
sleep,XGBoost meta learning,,1.0,1,0,1, , ,0.9653,Ensemble Genetic Programming,Ensemble Genetic Programming,105620 microseconds,8712 microseconds
sleuth_case1102,XGBoost meta learning,,1.0,1,0,1, , ,0.9972,Ensemble Genetic Programming,Ensemble Genetic Programming,117093 microseconds,8171 microseconds
sleuth_ex1221,XGBoost meta learning,,1.0,1,0,1, , ,0.9434,Ensemble Genetic Programming,Ensemble Genetic Programming,120921 microseconds,7602 microseconds
sleuth_ex1605,XGBoost meta learning,,1.0,1,0,1, , ,0.9787,Ensemble Genetic Programming,Ensemble Genetic Programming,51266 microseconds,7563 microseconds
sleuth_ex1714,XGBoost meta learning,,1.0,1,0,1, , ,0.9836,Ensemble Genetic Programming,Ensemble Genetic Programming,48282 microseconds,7536 microseconds
SMSA,XGBoost meta learning,,0.0,0,1,0, , ,0.9938,Ensemble Genetic Programming,Extra Tree Regressor,50966 microseconds,7778 microseconds
stock,XGBoost meta learning,,1.0,1,0,1, , ,0.9902,Ensemble Genetic Programming,Ensemble Genetic Programming,49769 microseconds,7895 microseconds
strikes,XGBoost meta learning,,0.0,0,1,0, , ,0.2677,Extra Tree Regressor,Ensemble Genetic Programming,55047 microseconds,7574 microseconds
student_performance,XGBoost meta learning,,1.0,1,0,1, , ,0.6102,Ensemble Genetic Programming,Ensemble Genetic Programming,43018 microseconds,7334 microseconds
tecator,XGBoost meta learning,,1.0,1,0,1, , ,0.9829,Ensemble Genetic Programming,Ensemble Genetic Programming,43102 microseconds,8595 microseconds
treepipit,XGBoost meta learning,,1.0,1,0,1, , ,0.7383,Ensemble Genetic Programming,Ensemble Genetic Programming,47998 microseconds,8669 microseconds
triazines,XGBoost meta learning,,1.0,1,0,1, , ,0.9838,Ensemble Genetic Programming,Ensemble Genetic Programming,55518 microseconds,8879 microseconds
vineyard,XGBoost meta learning,,1.0,1,0,1, , ,0.9536,Ensemble Genetic Programming,Ensemble Genetic Programming,59482 microseconds,10623 microseconds
visualizing_environmental,XGBoost meta learning,,1.0,1,0,1, , ,0.9522,Ensemble Genetic Programming,Ensemble Genetic Programming,127104 microseconds,7445 microseconds
visualizing_ethanol,XGBoost meta learning,,1.0,1,0,1, , ,0.9835,Ensemble Genetic Programming,Ensemble Genetic Programming,89233 microseconds,8664 microseconds
visualizing_slope,XGBoost meta learning,,1.0,1,0,1, , ,0.9910,Ensemble Genetic Programming,Ensemble Genetic Programming,164458 microseconds,12562 microseconds
wisconsin,XGBoost meta learning,,1.0,1,0,1, , ,0.9835,Ensemble Genetic Programming,Ensemble Genetic Programming,146478 microseconds,8408 microseconds
witmer_census_1980,XGBoost meta learning,,1.0,1,0,1, , ,0.9869,Ensemble Genetic Programming,Ensemble Genetic Programming,68414 microseconds,14103 microseconds
yacht_hydrodynamics,XGBoost meta learning,,1.0,1,0,1, , ,0.9552,Ensemble Genetic Programming,Ensemble Genetic Programming,43860 microseconds,8528 microseconds
