EDUCATION,SOUTH,SEX,EXPERIENCE,UNION,AGE,RACE,OCCUPATION,SECTOR,MARR,WAGE
12,no,female,15,not_member,33,White,Other,Manufacturing,Unmarried,4.5
12,no,male,28,not_member,46,White,Other,Other,Married,6.5
12,yes,male,20,member,38,White,Other,Manufacturing,Married,12
12,yes,male,6,not_member,24,White,Other,Construction,Unmarried,5
12,yes,male,5,not_member,23,White,Other,Manufacturing,Unmarried,6.5
9,yes,female,30,not_member,45,White,Other,Manufacturing,Married,6.8
13,no,male,18,not_member,37,White,Other,Other,Married,8.75
12,yes,female,6,not_member,24,Other,Other,Manufacturing,Married,3.75
12,yes,male,16,not_member,34,Hispanic,Other,Other,Unmarried,4.5
12,yes,male,1,member,19,Hispanic,Other,Other,Unmarried,6
12,no,male,3,not_member,21,White,Other,Manufacturing,Unmarried,5.5
12,no,male,8,not_member,26,White,Other,Other,Married,13
14,no,male,2,not_member,22,White,Other,Manufacturing,Unmarried,5.65
9,no,male,16,not_member,31,Other,Other,Manufacturing,Unmarried,4.8
10,yes,male,9,not_member,25,White,Other,Construction,Married,7
12,no,male,2,not_member,20,White,Other,Other,Unmarried,5.25
7,yes,male,43,not_member,56,White,Other,Manufacturing,Married,3.35
9,no,male,38,not_member,53,White,Other,Manufacturing,Married,8.5
12,no,male,9,not_member,27,White,Other,Other,Married,6
12,yes,male,12,not_member,30,White,Other,Other,Married,6.75
12,no,male,18,not_member,36,White,Other,Manufacturing,Married,8.89
11,no,male,15,member,32,White,Other,Manufacturing,Unmarried,14.21
11,yes,male,28,member,45,Other,Other,Construction,Married,10.78
10,yes,male,27,member,43,White,Other,Construction,Married,8.9
12,yes,male,38,not_member,56,White,Other,Other,Married,7.5
12,no,female,3,not_member,21,White,Other,Manufacturing,Unmarried,4.5
12,no,male,41,member,59,White,Other,Other,Married,11.25
12,yes,male,16,member,34,White,Other,Other,Married,13.45
13,yes,male,7,not_member,26,White,Other,Manufacturing,Married,6
6,yes,female,33,not_member,45,Other,Other,Manufacturing,Unmarried,4.62
14,no,male,25,not_member,45,White,Other,Manufacturing,Married,10.58
12,yes,male,5,not_member,23,White,Other,Other,Married,5
14,yes,male,17,not_member,37,Other,Other,Other,Unmarried,8.2
12,yes,male,1,not_member,19,White,Other,Other,Unmarried,6.25
12,no,male,13,not_member,31,White,Other,Manufacturing,Married,8.5
16,no,male,18,not_member,40,White,Management,Other,Married,24.98
14,yes,male,21,not_member,41,White,Management,Other,Married,16.65
14,no,male,2,not_member,22,White,Management,Other,Unmarried,6.25
12,yes,female,4,not_member,22,Hispanic,Management,Other,Unmarried,4.55
12,yes,female,30,not_member,48,Hispanic,Management,Other,Married,11.25
13,no,male,32,not_member,51,White,Management,Other,Unmarried,21.25
17,no,female,13,not_member,36,White,Management,Other,Married,12.65
12,no,male,17,not_member,35,White,Management,Other,Unmarried,7.5
14,no,female,26,not_member,46,White,Management,Other,Married,10.25
16,no,male,9,not_member,31,White,Management,Other,Unmarried,3.35
16,no,male,8,not_member,30,Other,Management,Other,Unmarried,13.45
15,no,male,1,member,22,White,Management,Other,Married,4.84
17,yes,male,32,not_member,55,White,Management,Other,Married,26.29
12,no,female,24,not_member,42,White,Management,Other,Married,6.58
14,no,female,1,not_member,21,White,Management,Other,Unmarried,44.5
12,no,male,42,not_member,60,White,Management,Manufacturing,Married,15
16,no,female,3,not_member,25,Other,Management,Manufacturing,Unmarried,11.25
12,no,female,32,not_member,50,White,Management,Other,Married,7
14,no,male,22,not_member,42,Other,Management,Other,Unmarried,10
16,no,male,18,not_member,40,White,Management,Other,Married,14.53
18,no,female,19,not_member,43,White,Management,Other,Married,20
15,no,male,12,not_member,33,White,Management,Other,Married,22.5
12,no,female,42,not_member,60,White,Management,Other,Married,3.64
12,yes,male,34,not_member,52,White,Management,Other,Married,10.62
18,no,male,29,not_member,53,White,Management,Other,Married,24.98
16,yes,male,8,not_member,30,White,Management,Other,Unmarried,6
18,no,male,13,not_member,37,White,Management,Manufacturing,Unmarried,19
16,no,male,10,not_member,32,White,Management,Other,Unmarried,13.2
16,no,male,22,not_member,44,White,Management,Other,Married,22.5
16,yes,male,10,not_member,32,White,Management,Other,Married,15
17,no,female,15,not_member,38,White,Management,Other,Married,6.88
12,no,male,26,not_member,44,White,Management,Other,Married,11.84
14,no,male,16,not_member,36,White,Management,Other,Unmarried,16.14
18,no,female,14,not_member,38,White,Management,Other,Married,13.95
12,no,female,38,not_member,56,White,Management,Other,Married,13.16
12,yes,male,14,not_member,32,Other,Management,Other,Married,5.3
12,no,female,7,not_member,25,White,Management,Other,Married,4.5
18,yes,female,13,not_member,37,White,Management,Other,Unmarried,10
10,no,male,20,not_member,36,White,Management,Other,Married,10
16,no,male,7,member,29,Hispanic,Management,Other,Married,10
16,no,female,26,not_member,48,White,Management,Other,Married,9.37
16,no,male,14,not_member,36,White,Management,Other,Married,5.8
13,no,male,36,not_member,55,White,Management,Other,Unmarried,17.86
12,no,male,24,not_member,42,White,Management,Other,Married,1
14,yes,male,41,not_member,61,White,Management,Other,Married,8.8
16,no,male,7,not_member,29,Other,Management,Other,Married,9
17,yes,male,14,not_member,37,White,Management,Other,Unmarried,18.16
12,yes,female,1,not_member,19,White,Management,Other,Unmarried,7.81
16,no,female,6,not_member,28,White,Management,Manufacturing,Married,10.62
12,no,female,3,not_member,21,White,Management,Other,Married,4.5
15,no,male,31,not_member,52,White,Management,Other,Married,17.25
13,no,female,14,not_member,33,White,Management,Manufacturing,Married,10.5
14,no,female,13,not_member,33,White,Management,Other,Married,9.22
16,no,male,26,member,48,Other,Management,Manufacturing,Married,15
18,no,male,14,not_member,38,White,Management,Other,Married,22.5
13,no,female,33,not_member,52,White,Sales,Other,Married,4.55
12,no,male,16,not_member,34,White,Sales,Other,Married,9
18,no,male,10,not_member,34,White,Sales,Other,Married,13.33
14,no,male,22,not_member,42,White,Sales,Other,Unmarried,15
14,no,male,2,not_member,22,White,Sales,Other,Unmarried,7.5
12,yes,female,29,not_member,47,White,Sales,Other,Married,4.25
12,no,male,43,not_member,61,White,Sales,Manufacturing,Married,12.5
12,no,female,5,not_member,23,White,Sales,Other,Married,5.13
16,yes,female,14,not_member,36,Other,Sales,Other,Married,3.35
12,yes,male,28,not_member,46,White,Sales,Other,Married,11.11
11,yes,female,25,not_member,42,Other,Sales,Other,Married,3.84
12,no,female,45,not_member,63,White,Sales,Other,Married,6.4
14,yes,male,5,not_member,25,White,Sales,Other,Unmarried,5.56
12,yes,male,20,not_member,38,White,Sales,Manufacturing,Married,10
16,no,female,6,not_member,28,White,Sales,Other,Married,5.65
16,no,male,16,not_member,38,White,Sales,Other,Married,11.5
11,no,female,33,not_member,50,White,Sales,Other,Married,3.5
13,yes,female,2,not_member,21,White,Sales,Other,Married,3.35
12,yes,female,10,not_member,28,White,Sales,Other,Unmarried,4.75
14,yes,male,44,not_member,64,White,Sales,Other,Married,19.98
14,yes,female,6,not_member,26,White,Sales,Other,Married,3.5
12,no,female,15,not_member,33,White,Sales,Other,Unmarried,4
12,no,male,5,not_member,23,White,Sales,Other,Married,7
13,no,female,4,not_member,23,White,Sales,Manufacturing,Married,6.25
14,no,male,14,not_member,34,White,Sales,Other,Married,4.5
14,no,female,32,not_member,52,White,Sales,Other,Married,14.29
12,no,female,14,not_member,32,White,Sales,Other,Married,5
14,no,male,21,not_member,41,White,Sales,Other,Married,13.75
12,no,male,43,member,61,White,Sales,Other,Married,13.71
12,yes,female,27,not_member,45,Other,Sales,Other,Married,7.5
12,no,female,4,not_member,22,White,Sales,Other,Unmarried,3.8
14,no,male,0,not_member,20,Hispanic,Sales,Other,Unmarried,5
12,yes,male,32,not_member,50,White,Sales,Other,Married,9.42
12,no,male,20,not_member,38,White,Sales,Other,Married,5.5
15,yes,male,4,not_member,25,White,Sales,Other,Unmarried,3.75
12,no,male,34,not_member,52,White,Sales,Other,Married,3.5
13,no,male,5,not_member,24,White,Sales,Other,Unmarried,5.8
17,no,male,13,not_member,36,White,Sales,Manufacturing,Married,12
14,no,female,17,not_member,37,Hispanic,Clerical,Other,Married,5
13,yes,female,10,not_member,29,White,Clerical,Other,Married,8.75
16,no,female,7,not_member,29,White,Clerical,Other,Married,10
12,no,female,25,not_member,43,White,Clerical,Other,Unmarried,8.5
12,no,female,18,not_member,36,Other,Clerical,Other,Married,8.63
16,no,female,27,not_member,49,White,Clerical,Manufacturing,Married,9
16,no,female,2,not_member,24,White,Clerical,Other,Unmarried,5.5
13,no,male,13,not_member,32,White,Clerical,Other,Married,11.11
14,no,female,24,not_member,44,White,Clerical,Other,Unmarried,10
18,yes,female,13,not_member,37,Hispanic,Clerical,Other,Married,5.2
14,no,female,15,member,35,White,Clerical,Other,Unmarried,8
12,yes,female,12,not_member,30,Hispanic,Clerical,Other,Unmarried,3.56
12,no,female,24,not_member,42,White,Clerical,Other,Married,5.2
12,no,female,43,not_member,61,White,Clerical,Construction,Married,11.67
12,no,female,13,not_member,31,White,Clerical,Manufacturing,Married,11.32
12,yes,female,16,not_member,34,White,Clerical,Other,Married,7.5
11,no,female,24,not_member,41,White,Clerical,Other,Married,5.5
16,yes,female,4,not_member,26,White,Clerical,Other,Married,5
12,no,female,24,not_member,42,White,Clerical,Other,Married,7.75
12,no,female,45,not_member,63,White,Clerical,Other,Married,5.25
12,no,male,20,member,38,White,Clerical,Other,Married,9
12,no,female,38,not_member,56,White,Clerical,Other,Married,9.65
18,yes,male,10,not_member,34,White,Clerical,Other,Married,5.21
11,no,female,16,not_member,33,Other,Clerical,Other,Married,7
12,yes,female,32,not_member,50,Other,Clerical,Other,Married,12.16
16,yes,female,2,not_member,24,White,Clerical,Other,Unmarried,5.25
13,yes,female,28,not_member,47,White,Clerical,Other,Unmarried,10.32
16,no,male,3,not_member,25,Other,Clerical,Other,Unmarried,3.35
13,no,female,8,member,27,White,Clerical,Other,Unmarried,7.7
12,no,female,44,not_member,62,White,Clerical,Manufacturing,Married,9.17
12,yes,male,12,not_member,30,White,Clerical,Other,Married,8.43
12,yes,male,8,not_member,26,Other,Clerical,Other,Married,4
12,no,female,4,not_member,22,White,Clerical,Other,Married,4.13
12,yes,female,28,not_member,46,White,Clerical,Other,Married,3
13,yes,female,0,not_member,19,White,Clerical,Other,Unmarried,4.25
14,yes,male,1,not_member,21,White,Clerical,Other,Unmarried,7.53
14,no,female,12,not_member,32,White,Clerical,Manufacturing,Married,10.53
12,no,female,39,not_member,57,White,Clerical,Other,Married,5
12,no,female,24,not_member,42,White,Clerical,Other,Married,15.03
17,no,female,32,not_member,55,Other,Clerical,Other,Married,11.25
16,no,male,4,not_member,26,Other,Clerical,Other,Unmarried,6.25
12,no,female,25,not_member,43,Other,Clerical,Other,Unmarried,3.5
12,no,male,8,not_member,26,Other,Clerical,Other,Unmarried,6.85
13,no,female,16,not_member,35,White,Clerical,Other,Married,12.5
12,yes,male,5,not_member,23,White,Clerical,Other,Unmarried,12
13,no,male,31,not_member,50,White,Clerical,Other,Unmarried,6
12,no,female,25,not_member,43,White,Clerical,Other,Unmarried,9.5
12,no,female,15,not_member,33,White,Clerical,Other,Married,4.1
14,yes,female,15,not_member,35,White,Clerical,Other,Married,10.43
12,no,female,0,not_member,18,White,Clerical,Other,Unmarried,5
12,no,male,19,not_member,37,White,Clerical,Other,Married,7.69
12,no,female,21,not_member,39,Other,Clerical,Other,Unmarried,5.5
12,no,female,6,not_member,24,White,Clerical,Other,Unmarried,6.4
12,no,female,14,member,32,White,Clerical,Other,Married,12.5
13,no,female,30,not_member,49,White,Clerical,Other,Married,6.25
12,no,female,8,not_member,26,White,Clerical,Other,Unmarried,8
9,no,male,33,member,48,White,Clerical,Other,Unmarried,9.6
13,no,male,16,not_member,35,Hispanic,Clerical,Other,Unmarried,9.1
12,yes,female,20,not_member,38,White,Clerical,Other,Unmarried,7.5
13,yes,female,6,not_member,25,White,Clerical,Other,Married,5
12,no,female,10,member,28,White,Clerical,Other,Married,7
13,yes,female,1,not_member,20,White,Clerical,Other,Unmarried,3.55
12,yes,male,2,not_member,20,Other,Clerical,Other,Unmarried,8.5
13,yes,female,0,not_member,19,White,Clerical,Other,Unmarried,4.5
16,no,male,17,not_member,39,Other,Clerical,Other,Married,7.88
12,no,female,8,not_member,26,White,Clerical,Other,Unmarried,5.25
12,yes,male,4,not_member,22,White,Clerical,Other,Unmarried,5
12,no,female,15,not_member,33,White,Clerical,Other,Unmarried,9.33
12,no,female,29,not_member,47,White,Clerical,Other,Married,10.5
12,yes,female,23,not_member,41,Other,Clerical,Other,Married,7.5
12,yes,female,39,not_member,57,White,Clerical,Other,Married,9.5
12,yes,female,14,not_member,32,White,Clerical,Other,Married,9.6
17,yes,female,6,not_member,29,Other,Clerical,Other,Unmarried,5.87
14,yes,male,12,member,32,White,Clerical,Other,Married,11.02
12,yes,female,26,not_member,44,White,Clerical,Other,Unmarried,5
14,no,female,32,not_member,52,White,Clerical,Other,Married,5.62
15,no,female,6,not_member,27,White,Clerical,Other,Married,12.5
12,no,female,40,not_member,58,White,Clerical,Other,Married,10.81
12,no,female,18,not_member,36,White,Clerical,Manufacturing,Married,5.4
11,no,female,12,not_member,29,White,Clerical,Other,Unmarried,7
12,yes,female,36,not_member,54,White,Clerical,Construction,Married,4.59
12,no,female,19,not_member,37,White,Clerical,Other,Married,6
16,no,female,42,not_member,64,White,Clerical,Manufacturing,Unmarried,11.71
13,no,female,2,not_member,21,Hispanic,Clerical,Other,Married,5.62
12,no,female,33,not_member,51,White,Clerical,Other,Married,5.5
12,yes,female,14,not_member,32,White,Clerical,Other,Married,4.85
12,no,male,22,not_member,40,White,Clerical,Other,Unmarried,6.75
12,no,female,20,not_member,38,White,Clerical,Other,Married,4.25
12,no,female,15,not_member,33,White,Clerical,Other,Married,5.75
12,no,male,35,not_member,53,White,Clerical,Other,Married,3.5
12,no,female,7,not_member,25,White,Clerical,Other,Married,3.35
12,no,female,45,not_member,63,White,Clerical,Manufacturing,Unmarried,10.62
12,no,female,9,not_member,27,White,Clerical,Other,Unmarried,8
12,yes,female,2,not_member,20,White,Clerical,Other,Married,4.75
17,yes,male,3,not_member,26,White,Clerical,Other,Unmarried,8.5
14,no,female,19,member,39,Other,Clerical,Other,Married,8.85
12,yes,female,14,not_member,32,White,Clerical,Other,Married,8
4,no,male,54,not_member,64,White,Service,Other,Married,6
14,no,male,17,not_member,37,White,Service,Other,Married,7.14
8,no,female,29,not_member,43,Other,Service,Other,Married,3.4
15,yes,female,26,not_member,47,White,Service,Other,Unmarried,6
2,no,male,16,not_member,24,Hispanic,Service,Other,Unmarried,3.75
8,no,female,29,not_member,43,Other,Service,Other,Unmarried,8.89
11,no,female,20,not_member,37,White,Service,Other,Married,4.35
10,yes,female,38,not_member,54,Other,Service,Other,Married,13.1
8,yes,female,37,not_member,51,Other,Service,Other,Married,4.35
9,no,male,48,not_member,63,White,Service,Other,Unmarried,3.5
12,no,female,16,not_member,34,White,Service,Other,Unmarried,3.8
8,no,female,38,not_member,52,White,Service,Other,Married,5.26
14,no,male,0,not_member,20,Other,Service,Other,Unmarried,3.35
12,no,male,14,member,32,Other,Service,Other,Unmarried,16.26
12,no,female,2,not_member,20,White,Service,Other,Married,4.25
16,no,male,21,not_member,43,White,Service,Other,Married,4.5
13,no,female,15,not_member,34,White,Service,Other,Married,8
16,no,female,20,not_member,42,White,Service,Other,Unmarried,4
14,no,female,12,not_member,32,White,Service,Other,Married,7.96
12,yes,male,7,not_member,25,Hispanic,Service,Other,Unmarried,4
11,no,male,4,not_member,21,White,Service,Other,Married,4.15
13,yes,male,9,not_member,28,White,Service,Other,Married,5.95
12,yes,female,43,not_member,61,Hispanic,Service,Other,Married,3.6
10,yes,male,19,not_member,35,White,Service,Other,Unmarried,8.75
8,no,female,49,not_member,63,White,Service,Other,Unmarried,3.4
12,no,female,38,not_member,56,White,Service,Other,Married,4.28
12,no,female,13,not_member,31,White,Service,Other,Married,5.35
12,no,female,14,not_member,32,White,Service,Other,Married,5
12,no,male,20,not_member,38,White,Service,Other,Unmarried,7.65
12,no,female,7,not_member,25,White,Service,Other,Unmarried,6.94
12,no,female,9,member,27,White,Service,Manufacturing,Married,7.5
12,no,female,6,not_member,24,White,Service,Other,Unmarried,3.6
12,yes,female,5,not_member,23,White,Service,Other,Married,1.75
13,yes,female,1,not_member,20,Other,Service,Other,Unmarried,3.45
14,no,male,22,member,42,White,Service,Other,Married,9.63
12,no,female,24,not_member,42,White,Service,Other,Married,8.49
12,no,female,15,member,33,White,Service,Other,Unmarried,8.99
11,yes,female,8,not_member,25,White,Service,Other,Married,3.65
11,yes,female,17,not_member,34,White,Service,Other,Married,3.5
12,yes,male,2,not_member,20,Other,Service,Other,Unmarried,3.43
12,yes,male,20,not_member,38,White,Service,Other,Married,5.5
12,no,male,26,member,44,White,Service,Other,Married,6.93
10,yes,female,37,not_member,53,Other,Service,Other,Married,3.51
12,no,female,41,not_member,59,White,Service,Other,Unmarried,3.75
12,no,female,27,not_member,45,White,Service,Other,Married,4.17
12,no,female,5,member,23,White,Service,Other,Married,9.57
14,no,male,16,not_member,36,Other,Service,Other,Married,14.67
14,no,female,19,not_member,39,White,Service,Other,Married,12.5
12,no,male,10,not_member,28,White,Service,Other,Married,5.5
13,yes,male,1,member,20,White,Service,Other,Unmarried,5.15
12,no,female,43,member,61,Other,Service,Other,Married,8
13,no,male,3,not_member,22,Other,Service,Other,Unmarried,5.83
12,no,female,0,not_member,18,White,Service,Other,Unmarried,3.35
12,yes,female,26,not_member,44,White,Service,Other,Married,7
10,no,female,25,member,41,White,Service,Other,Married,10
12,no,female,15,not_member,33,White,Service,Other,Married,8
14,yes,female,10,not_member,30,White,Service,Other,Unmarried,6.88
11,no,female,45,member,62,White,Service,Other,Unmarried,5.55
11,no,male,3,not_member,20,Other,Service,Other,Unmarried,7.5
8,no,male,47,member,61,Hispanic,Service,Other,Married,8.93
16,no,female,6,not_member,28,Other,Service,Other,Married,9
10,yes,female,33,not_member,49,White,Service,Other,Unmarried,3.5
16,no,male,3,not_member,25,White,Service,Manufacturing,Unmarried,5.77
14,no,male,4,member,24,Hispanic,Service,Other,Unmarried,25
14,no,male,34,member,54,Other,Service,Other,Married,6.85
11,yes,male,39,not_member,56,White,Service,Other,Married,6.5
12,yes,female,17,not_member,35,White,Service,Other,Married,3.75
9,no,male,47,member,62,White,Service,Other,Married,3.5
11,no,male,2,not_member,19,White,Service,Other,Unmarried,4.5
13,yes,male,0,not_member,19,White,Service,Other,Unmarried,2.01
14,no,female,24,not_member,44,White,Service,Other,Unmarried,4.17
12,no,male,25,member,43,Other,Service,Other,Married,13
14,no,female,6,not_member,26,White,Service,Other,Unmarried,3.98
12,no,female,10,not_member,28,White,Service,Other,Unmarried,7.5
12,no,female,33,not_member,51,Other,Service,Other,Married,13.12
12,no,male,12,not_member,30,White,Service,Other,Unmarried,4
12,yes,female,9,not_member,27,White,Service,Other,Married,3.95
11,yes,male,18,member,35,White,Service,Other,Married,13
12,no,male,10,not_member,28,White,Service,Other,Married,9
8,yes,female,45,not_member,59,White,Service,Other,Unmarried,4.55
9,no,female,46,member,61,White,Service,Other,Married,9.5
7,yes,male,14,not_member,27,Hispanic,Service,Other,Married,4.5
11,no,female,36,not_member,53,White,Service,Other,Unmarried,8.75
13,no,male,34,member,53,White,Professional,Construction,Married,10
18,no,male,15,not_member,39,White,Professional,Other,Married,18
17,no,male,31,not_member,54,White,Professional,Manufacturing,Married,24.98
16,no,female,6,not_member,28,White,Professional,Manufacturing,Unmarried,12.05
14,yes,male,15,not_member,35,White,Professional,Other,Married,22
12,no,male,30,not_member,48,White,Professional,Other,Married,8.75
18,no,male,8,not_member,32,White,Professional,Other,Married,22.2
18,no,male,5,not_member,29,White,Professional,Manufacturing,Married,17.25
17,no,female,3,member,26,White,Professional,Other,Unmarried,6
13,yes,male,17,not_member,36,White,Professional,Other,Married,8.06
16,no,male,5,member,27,Other,Professional,Manufacturing,Married,9.24
14,no,female,10,not_member,30,White,Professional,Other,Married,12
15,no,female,33,not_member,54,White,Professional,Other,Unmarried,10.61
18,no,male,3,not_member,27,White,Professional,Other,Married,5.71
