Month,Day,Day_of_week,Births
5,23,Tuesday,9210
5,24,Wednesday,9196
5,25,Thursday,9180
5,26,Friday,9514
5,27,Saturday,8005
5,28,Sunday,7781
5,29,Monday,7780
5,30,Tuesday,9630
5,31,Wednesday,9600
6,1,Thursday,9435
6,2,Friday,9303
6,3,Saturday,7971
6,4,Sunday,7399
6,5,Monday,9127
6,6,Tuesday,9606
6,7,Wednesday,9328
6,8,Thursday,9075
6,9,Friday,9362
6,10,Saturday,8040
6,11,Sunday,7581
6,12,Monday,9201
6,13,Tuesday,9264
6,14,Wednesday,9216
6,15,Thursday,9175
6,16,Friday,9350
6,17,Saturday,8233
6,18,Sunday,7777
6,19,Monday,9543
6,20,Tuesday,9672
6,21,Wednesday,9266
6,22,Thursday,9405
6,23,Friday,9598
6,24,Saturday,8122
6,25,Sunday,8091
6,26,Monday,9348
6,27,Tuesday,9857
6,28,Wednesday,9701
6,29,Thursday,9630
6,30,Friday,10080
7,1,Saturday,8209
7,2,Sunday,7976
7,3,Monday,9284
7,4,Tuesday,8433
7,5,Wednesday,9675
7,6,Thursday,10184
7,7,Friday,10241
7,8,Saturday,8773
7,9,Sunday,8102
7,10,Monday,9877
7,11,Tuesday,9852
7,12,Wednesday,9705
7,13,Thursday,9984
7,14,Friday,10438
7,15,Saturday,8859
7,16,Sunday,8416
7,17,Monday,10026
7,18,Tuesday,10357
7,19,Wednesday,10015
7,20,Thursday,10386
7,21,Friday,10332
7,22,Saturday,9062
7,23,Sunday,8563
7,24,Monday,9960
7,25,Tuesday,10349
7,26,Wednesday,10091
7,27,Thursday,10192
7,28,Friday,10307
7,29,Saturday,8677
7,30,Sunday,8486
7,31,Monday,9890
8,1,Tuesday,10145
8,2,Wednesday,9824
8,3,Thursday,10128
8,4,Friday,10051
8,5,Saturday,8738
8,6,Sunday,8442
8,7,Monday,10206
8,8,Tuesday,10442
8,9,Wednesday,10142
8,10,Thursday,10284
8,11,Friday,10162
8,12,Saturday,8951
8,13,Sunday,8532
8,14,Monday,10127
8,15,Tuesday,10502
8,16,Wednesday,10053
8,17,Thursday,10377
8,18,Friday,10355
8,19,Saturday,8904
8,20,Sunday,8477
8,21,Monday,9967
8,22,Tuesday,10229
8,23,Wednesday,9900
8,24,Thursday,10152
8,25,Friday,10173
8,26,Saturday,8782
8,27,Sunday,8453
8,28,Monday,9998
8,29,Tuesday,10387
8,30,Wednesday,10063
8,31,Thursday,9849
,1,Friday,10114
,2,Saturday,8580
,3,Sunday,8355
,4,Monday,8481
,5,Tuesday,10023
,6,Wednesday,10703
,7,Thursday,10292
,8,Friday,10371
,9,Saturday,9023
,10,Sunday,8630
,11,Monday,10154
,12,Tuesday,10425
,13,Wednesday,10149
,14,Thursday,10265
,15,Friday,10265
,16,Saturday,9170
,17,Sunday,8711
,18,Monday,10304
,19,Tuesday,10711
,20,Wednesday,10488
,21,Thursday,10499
,22,Friday,10349
,23,Saturday,8735
,24,Sunday,8647
,25,Monday,10414
,26,Tuesday,10498
,27,Wednesday,10344
,28,Thursday,10175
,29,Friday,10368
,30,Saturday,8648
10,1,Sunday,8686
10,2,Monday,9927
10,3,Tuesday,10378
10,4,Wednesday,9928
10,5,Thursday,9949
10,6,Friday,10052
10,7,Saturday,8605
10,8,Sunday,8377
10,9,Monday,9765
10,10,Tuesday,10351
10,11,Wednesday,9873
10,12,Thursday,9824
10,13,Friday,9755
10,14,Saturday,8554
10,15,Sunday,7873
10,16,Monday,9531
10,17,Tuesday,9938
10,18,Wednesday,9388
10,19,Thursday,9502
10,20,Friday,9625
10,21,Saturday,8411
10,22,Sunday,7936
10,23,Monday,9425
10,24,Tuesday,9576
10,25,Wednesday,9328
10,26,Thursday,9501
10,27,Friday,9537
10,28,Saturday,8415
10,29,Sunday,8155
10,30,Monday,9457
10,31,Tuesday,9333
11,1,Wednesday,9321
11,2,Thursday,9245
11,3,Friday,9774
11,4,Saturday,8246
11,5,Sunday,8011
11,6,Monday,9507
11,7,Tuesday,9769
11,8,Wednesday,9501
11,9,Thursday,9609
11,10,Friday,9652
11,11,Saturday,8352
11,12,Sunday,7967
11,13,Monday,9606
11,14,Tuesday,10014
11,15,Wednesday,9536
11,16,Thursday,9568
11,17,Friday,9835
11,18,Saturday,8432
11,19,Sunday,7868
11,20,Monday,9592
11,21,Tuesday,9950
11,22,Wednesday,9548
11,23,Thursday,7915
11,24,Friday,9037
11,25,Saturday,8275
11,26,Sunday,8068
11,27,Monday,9825
11,28,Tuesday,9814
11,29,Wednesday,9438
11,30,Thursday,9396
12,1,Friday,9592
12,2,Saturday,8528
12,3,Sunday,8196
12,4,Monday,9767
12,5,Tuesday,9881
12,6,Wednesday,9402
12,7,Thursday,9480
12,8,Friday,9398
12,9,Saturday,8335
12,10,Sunday,8093
12,11,Monday,9686
12,12,Tuesday,10063
12,13,Wednesday,9509
12,14,Thursday,9524
12,15,Friday,9951
12,16,Saturday,8507
12,17,Sunday,8172
12,18,Monday,10196
12,19,Tuesday,10605
12,20,Wednesday,9998
12,21,Thursday,9398
12,22,Friday,9008
12,23,Saturday,7939
12,24,Sunday,7964
12,25,Monday,7846
12,26,Tuesday,8902
12,27,Wednesday,9907
12,28,Thursday,10177
12,29,Friday,10401
12,30,Saturday,8474
12,31,Sunday,8028
