response_2,response_3,response_4,response_5,response_6,response_7,response_8,response_9,response_10,response_11,response_12,response_13,response_14,response_15,response_16,response_17,response_18,response_19,response_20,response_21,response_22,response_23,response_24,response_25,response_26,response_27,response_28,response_29,response_30,response_31,response_32,x1,x2,x3,x1**2,x2**2,x3**2,x1*x2,x2*x3,x3*x2,response_1
14.387,15.694,14.456,12.981,18.917,14.33,15.034,13.647,14.814,14.576,13.319,14.294,16.337,14.72,12.267,17.411,22.336,15.508,19.707,16.347,18.174,13.188,19.563,17.162,14.351,16.927,13.54,14.754,14.843,14.321,14.061,1.036,-0.205,0.014,1.074,0.042,0,-0.212,0.014,-0.003,14.059
14.684,15.36,13.371,12.527,17.013,13.858,14.425,15.967,14.607,15.009,13.844,14.847,17.719,15.823,13.072,17.256,21.545,15.226,17.517,16.203,17.712,13.914,18.888,16.204,15.012,17.76,13.409,14.754,14.772,14.519,13.995,-2,-1.105,0.219,3.998,1.22,0.048,2.209,-0.438,-0.242,13.668
14.188,15.583,13.462,12.618,17.132,14.707,15.136,14.261,14.814,14.936,15.287,15.261,17.637,14.591,14.497,18.344,21.94,16.636,18.696,15.913,17.096,13.672,20.069,15.486,13.822,17.177,12.498,16.789,15.055,14.256,13.137,-1.912,-1.423,0.014,3.656,2.025,0,2.721,-0.026,-0.019,14.352
14.684,17.809,15.088,13.525,17.251,14.99,15.034,16.308,16.407,16.019,14.631,14.708,18.857,14.072,14.126,17.567,23.126,17.341,19.538,15.913,17.404,16.212,19.9,17.162,13.359,18.678,13.8,17.225,15.55,15.241,13.797,-0.19,-0.205,0.014,0.036,0.042,0,0.039,-0.003,-0.003,16.597
16.47,17.364,13.643,14.07,19.155,13.764,15.542,15.557,15.23,15.297,15.419,15.882,18.613,15.628,13.754,18.655,22.533,15.649,18.191,15.913,17.558,14.518,19.9,18.759,15.541,19.762,14.776,16.789,15.762,15.241,15.58,-0.073,-0.043,0.014,0.005,0.002,0,0.003,-0.001,-0.001,14.156
15.379,16.473,13.733,15.704,18.084,15.178,15.745,14.261,13.845,15.874,12.532,15.123,17.475,14.396,13.506,19.277,23.324,17.482,20.717,17.794,19.252,16.454,20.743,17.482,13.954,17.927,14.581,16.716,16.539,16.03,14.919,0.803,-1.635,0.014,0.644,2.674,0,-1.313,0.011,-0.022,14.156
15.28,17.809,15.088,14.978,19.63,15.272,17.777,13.988,14.676,15.73,15.091,14.57,18.45,14.331,15.055,19.277,23.324,17.482,20.717,17.794,19.252,16.454,20.743,17.482,13.954,17.927,14.581,16.716,16.539,16.03,14.919,0.832,-1.423,-1.971,0.692,2.025,3.884,-1.184,-1.64,2.804,16.304
14.982,17.92,15.178,14.978,19.868,15.555,15.847,15.626,14.814,16.885,13.975,16.366,18.044,15.823,14.683,18.033,23.324,15.931,20.212,16.781,20.022,14.881,20.069,16.603,14.549,17.343,15.297,15.408,13.783,14.059,14.127,0.161,-1.499,-0.534,0.026,2.248,0.285,-0.241,-0.086,0.8,14.742
16.569,18.365,14.365,14.433,18.56,15.555,17.574,14.329,14.122,16.957,14.303,15.33,17.231,14.201,15.303,20.209,23.126,17.059,20.044,18.373,18.328,15.728,21.924,15.885,15.144,18.928,14.972,15.044,15.197,15.044,14.589,-0.102,-1.529,-1.423,0.01,2.338,2.026,0.156,0.145,2.177,17.281
15.974,16.919,13.733,14.796,17.965,14.518,16.05,15.216,14.261,15.874,15.353,16.09,19.182,14.526,15.117,18.499,23.126,15.931,20.212,17.505,19.714,14.156,19.563,17.162,15.078,18.511,14.451,16.789,14.843,15.11,13.599,0.394,0.806,-1.423,0.155,0.65,2.026,0.318,-0.561,-1.147,15.426
15.676,17.03,14.275,14.615,18.798,14.141,15.441,15.762,13.845,15.947,15.419,16.435,17.475,15.044,13.692,18.655,22.533,15.79,18.528,17.071,18.02,14.035,18.551,16.204,14.086,18.261,14.321,15.044,14.843,14.65,14.259,-0.219,1.124,-1.355,0.048,1.264,1.836,-0.246,0.297,-1.523,15.914
