season,river_size,fluid_velocity,concentration_1,concentration_2,concentration_3,concentration_4,concentration_5,concentration_6,concentration_7,concentration_8,algae_7
winter,small_,high__,6.6,10.8,,3.245,10,1,6.5,,0
spring,small_,medium,5.6,11.8,,2.22,5,1,1,,0
autumn,small_,medium,5.7,10.8,,2.55,10,1,4,,0
spring,small_,high__,6.6,9.5,,1.32,20,1,6,,0
summer,small_,high__,6.6,10.8,,2.64,10,2,11,,0
autumn,small_,medium,6.6,11.3,,4.17,10,1,6,,0
spring,small_,medium,6.5,10.4,,5.97,10,2,14,,0
summer,small_,medium,6.4,,,,,,14,,1.7
autumn,small_,high__,7.83,11.7,4.083,1.328,18,3.333,6.667,,0
spring,small_,high__,7.57,10.8,4.575,1.203,27.5,2,6.75,1,1.4
summer,small_,high__,7.19,11.7,4.326,1.474,160,2.5,7.2,0.3,1.4
winter,small_,high__,7.44,10.1,2.933,0.77,15,1.333,6,0.6,0
spring,small_,high__,7.14,9.8,3.275,0.923,15,1.25,10.75,2.5,0
summer,small_,high__,7,12.1,3.136,1.208,16.2,1.8,2.5,0.5,0
autumn,medium,medium,8.5,8.1,38.125,3.85,225,45,152.33299,5.2,0
summer,medium,medium,7.925,10.2,34.037,9.08,109,55,58.623,11.6,1.2
winter,medium,medium,8.1,8.1,136,3.773,245,136.75,249.25,20.87,1.2
spring,medium,medium,8.2,6.8,129.375,3.316,271.25,100,233.5,13,0
spring,medium,high__,9.1,9.4,35.75,5.164,32.5,85.5,215.5,18.37,2.2
autumn,medium,medium,8.1,9.8,29.5,1.287,224.286,25.167,102.333,3.6,1
winter,medium,medium,8,5.9,27.4,0.735,133.636,36,105.727,3,0
spring,medium,medium,8,3.3,26.76,0.658,165,37.375,111.375,3,0
winter,medium,high__,7.5,9.2,11,3.31,101,26.6,108,1.3,10.8
spring,medium,high__,7.4,9.8,11,3.235,255,38.75,56.667,2,1.4
autumn,medium,high__,7.3,11.7,10.4,4.93,130,10.8,60,4.3,14.4
winter,medium,high__,7.4,8.9,13.5,5.442,123.333,27.667,104,21,22.1
summer,medium,high__,7.4,11.17,12.146,6.188,89.6,32,69.93,3.1,31.2
autumn,medium,medium,7.5,10.8,31,4.408,737.5,111.25,214,2.9,25.6
winter,medium,medium,7.6,6,53,3.734,914,137.60001,254.60001,4.3,30.1
summer,medium,medium,7.4,10.77,36.248,3.73,429.20001,57.6,169.00101,3.2,16.7
winter,medium,medium,8.5,8.6,125.6,3.778,124.167,197.83299,303.33301,40,2.7
spring,medium,medium,8.7,9.4,173.75,3.318,101.25,267.75,391.75,3.5,0
summer,medium,medium,8.1,10.7,94.405,4.698,153,191.75,265.25,7.3,0
winter,medium,high__,8.8,8.5,53.333,5.132,96.667,120.5,232.83299,31,1
spring,medium,high__,7.8,10.5,70,2.443,98.333,144.66701,244,9,0
summer,medium,high__,7.9,11.8,63.51,4.94,137,159.5,218,6.5,1
autumn,medium,low___,8.5,10.5,56.717,0.33,215.714,23,138.5,20.829,7.8
winter,medium,low___,9.1,5.4,61.05,0.308,105.556,104.222,239,72.478,2.2
spring,medium,low___,8.9,4.5,57.75,0.267,155,97.333,235.66701,98.817,1
winter,medium,high__,7.9,6.3,101.875,3.978,153.75,51.75,205.875,2,0
summer,medium,high__,7.8,8.2,85.982,6.2,421.66699,31.333,211.66701,21.9,1
winter,medium,medium,7.7,7.1,63.625,3.14,122.5,28.625,186.5,30,3.2
spring,medium,medium,7.8,6.5,82.111,2.603,215.556,12.889,154.125,5.2,4.3
winter,medium,low___,7.7,5.3,65.333,2.899,371.11099,51.111,183.66701,17.2,0
summer,medium,low___,7.5,8.8,58.331,8.688,758.75,104.5,292.625,3,0
autumn,medium,low___,7.6,10,49.625,5.456,308.75,38.625,285.71399,75,1.1
winter,medium,low___,8.7,7.4,47.778,2.316,38.111,24.667,201.778,3,1.9
summer,medium,low___,7.7,11.1,47.229,8.759,239,54,275.14301,65.7,2.7
autumn,medium,high__,8.3,11.1,41.5,4.665,931.83301,39,124.2,13.1,0
winter,medium,high__,8.43,6,40.167,2.67,723.66699,60.833,141.83299,25,4.2
summer,medium,high__,8.16,11.1,32.056,5.694,461.875,71,132.54601,15,2.4
winter,medium,high__,8.7,9.8,5.889,1.534,51.111,9.667,17.333,1,0
spring,medium,high__,8.2,11.3,7.25,1.875,25,6.5,26,0.3,0
summer,medium,high__,8.5,11.8,7.838,1.732,206.53799,8.692,16.662,2.1,0
spring,medium,medium,7.8,6,53.425,0.381,118.571,37.857,102.571,1.2,0
summer,medium,medium,8,9.7,57.848,0.461,217.75,37,86.997,3,0
winter,medium,high__,9.7,10.8,0.222,0.406,10,22.444,10.111,,0
summer,medium,high__,8.6,11.62,1.549,0.445,25.833,16.833,18.293,1.4,0
autumn,medium,medium,8.3,11.6,5.83,0.701,12.727,3.545,13.2,3.2,0
spring,medium,low___,8.4,5.3,74.667,3.9,131.66701,261.60001,432.909,24.917,6.8
summer,medium,low___,8.2,6.6,131.39999,4.188,92,238.2,320.39999,6.8,0
winter,medium,medium,8.2,9.4,45.273,7.195,345.45499,144,287,9.882,0
spring,medium,medium,8.1,7.1,42.636,5.078,56.364,166.72701,262.72699,17.2,1.4
summer,medium,medium,8.1,9,48.429,6.64,128.571,181,222.286,6.429,0
winter,medium,high__,7.4,10.7,11.818,2.163,170.909,36.909,122,5.555,1.4
spring,medium,high__,8.3,9.7,10.556,1.921,65.556,61.556,127.222,5.233,0
summer,medium,high__,8.6,10.7,12,2.231,43.75,62.625,89.625,2.15,6
winter,medium,medium,9.1,11.6,31.091,5.099,246.364,55,284,88.255,6.1
spring,medium,medium,9,6.9,28.333,2.954,76.667,102.333,277.33301,110.456,6.6
summer,medium,medium,8.3,10,30.125,3.726,102.5,75.875,177.625,50.225,2.4
winter,medium,high__,8.5,10.1,10.936,1.335,236,34.636,72.9,11.1,1.4
spring,medium,high__,8.3,7.7,10.078,1.212,103.333,48.667,82.444,2,18.6
summer,medium,high__,7.3,10.5,11.088,1.374,92.375,48.625,66.75,3.3,1.9
spring,medium,medium,7.9,8.3,391.5,6.045,380,173,317,5.5,2.4
autumn,medium,medium,8,11.9,130.67,6.54,196,75,84,4.5,2.4
spring,medium,medium,8,9.2,39,4.86,120,187,213,2,2.2
autumn,medium,medium,8.1,11.7,35.66,5.13,46.5,49,88.5,2.5,3.4
winter,medium,low___,8.43,9.9,37.6,0.826,124,32.5,115,11.7,0
summer,medium,low___,8.1,6.2,39,0.673,112.857,60,98.143,2,0
winter,medium,medium,7.9,11.2,49.9,9.773,505,67.5,143.75,5.45,0
summer,medium,medium,8.1,6.2,51.113,5.099,175,132.5,197.14301,6.4,1.6
spring,medium,high__,7.8,9.5,8.3,1.67,34,16.8,35.2,1,0
autumn,medium,high__,7.9,10.5,10.207,2.304,132.25,10.583,23.485,2,0
winter,medium,low___,8,4.5,79.077,8.984,920,70,200.231,19.4,3.9
spring,medium,low___,7.6,6.3,81.333,9.715,196.66701,77.333,147.83299,3,31.6
winter,medium,high__,8.22,8.1,41.25,1.415,172.5,46.667,123.333,30.4,1.6
autumn,medium,high__,8.3,9.9,40.226,1.587,235,33.8,75.207,23.8,1.5
winter,medium,high__,8.47,9,46.167,2.102,84.667,48,116.2,7.3,0
spring,medium,high__,8.4,4.9,47,0.536,91.833,109,188.66701,32,0
autumn,medium,high__,8.87,11,41.163,2.273,54.75,39,72.696,22.7,0
summer,medium,high__,7.7,4.4,53,2.31,90,22.2,116.2,16,0
spring,medium,medium,7.9,6,127.833,2.68,176.66701,27.5,76.333,2.1,0
autumn,medium,medium,7.8,10.53,100.83,5.41,486.5,24,58.374,27.5,0
spring,large_,low___,8.6,3.6,50,0.376,134,54.1,125.8,26.8,15.1
autumn,large_,low___,8.4,10.6,19.22,1.655,96.833,20.667,54.916,20.6,1.4
winter,large_,low___,8.3,11.5,26,1.87,62.5,30.75,75.333,34.75,0
spring,large_,low___,9,5.8,,0.9,142,102,186,68.05,0
spring,large_,low___,9.5,5.7,44,0.102,146.66701,151.33299,252.5,93.683,3.9
summer,large_,low___,8.8,8.8,43,0.13,103.333,180.66701,269.66699,92.667,3.3
autumn,large_,low___,8.84,12.9,43.09,0.846,52.2,8.6,46.438,81.54,2.7
winter,large_,high__,7.3,9.9,16,4.82,101.667,14.667,85,2,3.6
autumn,large_,high__,7.4,10.68,22.35,5.414,244.60001,66.4,171.272,3.8,5.2
spring,large_,low___,9.1,4.3,82.857,0.86,137.27299,102.364,232.89999,54.367,2.9
autumn,large_,low___,8.53,11.1,63.292,1.726,227.60001,84.3,146.452,21.22,2
winter,large_,low___,8.56,8.7,43.97,4.053,643,221.89999,246.66701,14.7,1.7
autumn,large_,low___,8.06,8.3,38.902,3.678,627.27301,205.636,219.909,6.209,0
winter,large_,medium,8.21,9.3,104.818,3.908,124.364,82.222,167.89999,5.609,0
spring,large_,medium,8.5,7.3,71.444,2.512,66.667,64.389,137.778,9.384,3.3
spring,large_,medium,8.6,10.6,208.364,4.459,197.909,87.333,194.10001,27.618,0
winter,large_,medium,9.06,6.35,187.183,3.351,54.778,159.16701,221.278,20.8,1.9
autumn,large_,high__,8.7,10.7,4.545,0.941,32.727,16,21.3,1.1,0
spring,large_,high__,8.1,10.7,3.5,1.013,12.5,12.75,11,0.6,1.2
summer,large_,high__,8.4,10.29,5.326,0.996,53.846,7.667,14.354,0.8,0
spring,large_,medium,8.6,10.1,2.111,0.663,11.111,3.222,7,1.3,0
summer,large_,medium,8.2,9.5,2.2,0.672,10,3.8,6.2,0.8,0
winter,large_,medium,8.5,10.5,2.75,0.758,10.5,4,7.654,4,0
summer,large_,medium,8.3,10,3.86,0.866,32,6,16,2.86,0
winter,large_,high__,8,10.9,9.055,0.825,40,21.083,56.091,,0
summer,large_,high__,8.1,10.2,7.613,0.699,32.5,26.625,52.875,2,0
winter,large_,low___,8.7,10.8,39.109,6.225,161.81799,104.727,228.364,46.075,2.3
winter,large_,low___,8.7,11.7,22.455,3.765,88.182,41.3,85.4,17.491,0
summer,large_,low___,8.4,8.2,23.25,2.805,43.75,51.125,87.125,14.775,0
autumn,large_,low___,8.55,11,22.32,3.14,82.1,45.9,101.455,18.33,0
spring,large_,medium,8.5,7.6,12.778,1.873,17.778,50.889,127,24.556,5.5
autumn,large_,medium,8.7,11.4,15.541,2.323,103,34.5,81.558,5.62,5.9
winter,large_,medium,8.4,10.5,12.182,1.519,65.455,19.727,50.455,8.155,0
spring,large_,medium,8.2,8.2,7.333,1.003,37.778,19.111,120.889,5.111,1.2
autumn,large_,medium,8.58,11.1,23.825,3.617,72.6,51.111,91.111,22.9,0
summer,large_,medium,8.5,7.9,12.444,2.586,96.667,19.111,61.444,6.167,0
autumn,large_,medium,8.4,8.4,17.375,3.833,83.75,53.625,79.75,2.338,0
spring,large_,medium,8.3,10.6,14.32,3.2,125.333,35.333,75.904,4.667,1
autumn,large_,medium,8.2,7,139.989,2.978,60.11,78.333,140.22,31.738,0
winter,large_,medium,8,7.6,,,,,,,4.9
summer,large_,medium,8.5,6.7,82.852,2.8,27.069,64,140.517,18.3,5.8
summer,small_,medium,7.95,5.7,57.333,2.46,273.33301,295.66699,380,,28
winter,small_,medium,7.98,8.8,59.333,7.392,286.66699,33.333,138,7.1,0
summer,small_,medium,8,7.2,80,1.957,174.286,47.857,113.714,4.5,2.1
spring,small_,high__,8.35,8.4,68,3.026,458,45.2,111.8,3.2,1.2
spring,small_,medium,8.1,13.2,19,0,130,6,40,2,0
summer,small_,medium,8.37,12.1,12.85,0.84,15,5,10.507,13.8,4.6
spring,small_,high__,7.31,9.9,6,1.395,58.75,6,16,0.8,1.9
autumn,small_,high__,7.91,11.2,5,1.383,6,24.333,30,32,0
summer,small_,high__,7.99,10.7,4,1.368,117,17.25,44.75,0.8,0
autumn,small_,high__,7.82,11.5,8.18,1.488,39,16,139.5,0.4,5.1
summer,small_,high__,6.6,10.8,4,1.18,80,2,59,0.6,0
autumn,small_,high__,6.79,9.4,11.42,1.966,42,3,15,0.6,0
summer,small_,high__,6.78,10.2,10.704,1.46,46,3,13.714,0.7,0
summer,small_,high__,7.8,10.8,14.568,1.228,61.25,34.5,62,1.1,1.4
spring,small_,high__,8.3,12.7,27,4.04,10,363,482,6,0
autumn,small_,high__,8.2,11.3,6,1.56,10,2,5,,0
summer,small_,high__,8.2,10.4,3.577,0.788,10.583,1.667,2.088,0.8,0
autumn,small_,medium,8.1,6.4,21.2,3.222,44,54.8,155,61.52,3.3
summer,small_,medium,8.54,12.83,22.545,4,170.5,68,116.069,41.6,0
autumn,small_,medium,8.5,7.8,71,11.02,500,121,,7.1,7.8
spring,small_,medium,7.7,6.8,65,1.833,782.5,77.25,340,9,5.1
autumn,small_,high__,8.4,10.5,50.6,10.494,334,209.10001,276.66699,20.72,0
summer,small_,high__,8.5,11.5,57.292,10.526,312.60001,261.39999,299.39999,23.5,0
summer,small_,high__,8.1,12.2,66,4.08,10,26,70,1.8,0
autumn,small_,low___,6.13,11.23,8.87,0.62,36,3,14.741,2.1,0
winter,small_,medium,,12.1,18,3.14,10,21,41,4.8,5
summer,small_,medium,7.2,10.4,18,2.42,80,11,44,2.5,7
spring,small_,medium,7.9,8.6,27.65,2.063,62.5,7.75,30,,1.2
autumn,small_,medium,7.8,9.1,36.124,5.974,169,13.091,71.057,3.3,1.4
summer,small_,high__,7.8,9.4,5.714,0.807,22.143,6,18.714,1.5,0
autumn,small_,high__,7.8,11.35,5.343,1.363,19.75,5.818,8.846,1.9,0
autumn,small_,high__,5.9,11.9,,1.88,5,1,2,,0
winter,small_,high__,6.8,9.1,,0.78,10,1,14,,0
summer,small_,medium,6.6,8.8,,0.95,20,1,7,,0
winter,small_,high__,6.6,11.8,,2.21,10,1,4,,0
winter,small_,medium,6.9,9.2,,2.21,10,2,13,,1.9
winter,small_,high__,7.66,10.8,4,0.997,15,1.5,7.333,1,1.2
autumn,small_,high__,7.6,10.5,3.05,1.002,13.333,1.667,10.833,,0
winter,medium,medium,8,7,37.091,2.237,146.364,84.091,172.778,2.3,1.5
spring,medium,medium,8.2,7.8,37.625,1.453,105.714,66.714,143.39999,2.6,0
autumn,medium,medium,8.2,10.7,134.66701,4.504,617.77802,49.444,164.778,19.2,0
summer,medium,medium,8,8.5,131.46899,3.454,792,63.1,286.60001,8.2,0
autumn,medium,high__,8.9,10.5,34.8,6,122.556,41.111,144.11099,27.03,0
summer,medium,high__,8.2,9.2,30.037,5.184,174.8,86.6,130.8,3.45,2.2
summer,medium,medium,7.8,8.8,29.078,2.823,263.556,27,95.12,11.5,0
summer,medium,high__,7.5,10.8,10.357,3.35,127.667,22,34.321,1.2,29.4
spring,medium,high__,7.4,9,13.75,5.268,58.75,56.25,64,2.5,3.1
spring,medium,medium,7.5,8.9,55.8,4.408,389,127.4,206.2,5,9.2
autumn,medium,medium,9.1,8,101.2,4.306,273.75,152.875,290.31299,10.7,0
autumn,medium,high__,8.9,8,60.2,4.033,306.47101,136,242.94099,18.4,0
summer,medium,low___,8.5,10.74,56.292,0.694,264.79999,43.4,124.942,30.48,1.1
autumn,medium,high__,8.3,8.6,75,5.18,560,30.5,170,16.7,1
spring,medium,high__,7.8,6.3,136.66701,3.734,154.444,35.556,175.33299,2.7,0
autumn,medium,medium,7.6,9.2,64.778,6.164,720,21.778,242.5,54.2,0
summer,medium,medium,7.5,9.2,61.557,7.035,558.33301,24.5,257.33301,19.5,2.7
autumn,medium,low___,7.5,8.6,57.5,7.368,577,67.3,254.444,22,0
spring,medium,low___,7.7,4.8,88.909,1.714,669.091,38.182,205.18201,2.8,0
spring,medium,low___,7.9,7.2,55.25,2.235,89.375,17.5,141.5,17,0
spring,medium,high__,8.06,2.2,39,2.085,773.125,90.75,163.25,26,1.9
autumn,medium,high__,8.5,7.5,9.3,1.557,260,9.6,18.1,3.9,0
autumn,medium,medium,8.2,10.4,63.3,0.389,217.14301,24.333,114,2.7,0
winter,medium,medium,8,4.8,58.767,0.308,93.75,33.375,110.875,2.7,1
autumn,medium,high__,8.7,10.8,1.118,0.534,26.364,14.818,20.9,1.4,0
spring,medium,high__,8.4,11.2,0.5,0.32,10,21.6,27.6,0.6,0
winter,medium,low___,8.5,8.3,36.583,5.632,440.83301,149,266.36401,19.827,1.6
autumn,medium,low___,8.3,8.8,64.768,6.272,357.16699,219,302.5,8.267,1.2
autumn,medium,medium,8.4,10.8,47.304,7.773,258.909,145.091,223.04401,13.36,0
autumn,medium,high__,7.9,11.9,11.862,2.209,128.636,48.091,69.079,2.755,0
autumn,medium,medium,9.13,12,30.496,4.971,99.6,64.6,146.265,54.13,5.5
autumn,medium,high__,7.4,11.4,12.031,1.621,176.8,36.3,58.599,36.1,1.5
summer,medium,medium,8.3,8.9,271.5,6.315,375,169,313.5,2.8,2.4
winter,medium,medium,8.2,10.4,41,5.16,410,38,61,6,1
summer,medium,medium,8.2,11.2,36,4.4,32.5,108,155.5,3,1.2
spring,medium,low___,8.17,6.3,37.3,0.527,82,62,133.10001,1.4,0
autumn,medium,low___,8.33,10.6,36.156,1.137,119.444,92.889,112.855,10.5,0
spring,medium,medium,8.5,6.7,45.609,4.411,160,88.364,180.364,32.833,3.9
autumn,medium,medium,8.1,9.1,47.267,9.367,169.091,75,127.778,3.667,0
winter,medium,high__,8.2,11.9,12.25,2.348,121.875,14,27.5,4.6,0
summer,medium,high__,8.1,9.4,11,2.251,48.75,17.375,66.875,2.5,0
summer,medium,low___,7.8,7.9,87,12.13,652.5,93.25,209,6,1.4
spring,medium,high__,8.26,5,44.818,0.526,97.273,105.455,181.636,20.6,0
summer,medium,high__,8.11,6.6,49.857,0.993,194.28,77,197.571,13,0
summer,medium,high__,7.87,1.8,49.25,0.611,357.125,128.25,185.125,4.5,0
winter,medium,high__,7.2,10.1,49.5,3.955,55,18,138,49,0
spring,medium,high__,7.8,8.3,51.5,2.098,30.2,24.6,184.39999,31.3,3.1
winter,medium,medium,7.9,11.3,82.5,6.283,300,12.333,53.333,13.7,0
summer,medium,medium,8,8.8,176.25,0.618,440,16.25,79.25,3.5,0
winter,large_,low___,7.7,9.3,66,3.56,310,37,,17.35,0
winter,large_,low___,8.7,5.4,48,1.139,144.286,36.714,66.833,22.017,1.7
summer,large_,low___,7.9,5.3,48,0.513,138.33299,61.333,89.167,4,0
autumn,large_,low___,8.7,12.2,32.23,1.887,233.5,17.5,66.167,39.333,0
winter,large_,low___,8.6,6.5,43,0.668,95,10.5,74.667,63.5,0
spring,large_,high__,7.4,7.3,19,4.39,120,74.857,166.286,5.3,4.5
summer,large_,high__,7.8,10.4,22.5,4.72,178.75,116.5,201,2.7,3.6
winter,large_,low___,8.5,9.8,70.25,1.644,285,68.714,132,16.028,0
spring,large_,low___,7.98,5.6,47.06,3.088,357,311.39999,342.29999,18.53,3.1
summer,large_,low___,7.95,7.2,57.286,3.746,425.71399,291.14301,330,4.714,1.7
spring,large_,medium,7.96,5.5,131.364,3.313,810.90002,311.45499,349.81799,20.47,3.2
winter,large_,medium,8.35,2.75,97.733,3.681,137.444,91,155.556,2.744,0
summer,large_,medium,8.15,10.4,189.567,5.011,162.944,135.778,219.278,2.859,1.2
winter,large_,high__,8.5,10.1,3,0.851,37.778,10.778,23.889,0.5,0
winter,large_,medium,8.5,11.4,3,0.774,10.909,3.727,8.091,3.6,0
spring,large_,medium,8.5,8.5,4.025,0.825,23.636,5.583,31.091,2.4,0
autumn,large_,medium,8.4,11.43,4.966,0.969,24.111,6,18.167,2.133,0
spring,large_,high__,8.2,9.9,6.4,0.553,21.429,12,76.286,1.3,0
autumn,large_,high__,8,10.98,9.7,0.874,67.7,26.6,51.034,2.2,0
autumn,large_,low___,8.3,8.9,42.058,5.922,116.727,150.58299,220.72301,6.7,3.8
spring,large_,low___,8.7,6.8,16.889,2.139,30,37.111,85.444,23.033,1
winter,large_,medium,8.6,10.4,15.182,2.502,140.909,31.909,77.7,15.318,30.8
summer,large_,medium,8,9.1,15.375,2.118,43.75,48.875,86.5,8.125,10.1
summer,large_,medium,8.2,9.5,17.875,2.363,63.75,44,77,8.463,0
spring,large_,medium,8.5,9.6,16.545,3.849,103.273,34.273,63.4,14.682,0
spring,large_,medium,8.04,9.3,130.263,3.776,131.008,97.5,152.966,6.15,1.9
autumn,large_,medium,7.95,9.1,76.886,3.461,93.827,68.333,146.049,3.95,0
summer,small_,high__,7.25,9.54,,0.642,85,14.6,19.45,0.46,0
autumn,small_,high__,7.64,10.3,34.235,2.942,41.43,17,41.567,7.43,0
winter,small_,high__,7.92,8.5,10.867,1.715,199.54,3.222,27.2,1.9,0
spring,small_,high__,7.62,9.4,11.055,1.51,13.56,4,12.65,1.456,1.9
summer,medium,high__,7.75,10.7,15.5,3.976,57.64,10.5,43.169,3.12,0
winter,small_,high__,7.08,8.4,9.45,1.572,26.54,4,13.6,0.675,0
summer,small_,high__,6.92,11.1,9.1,0.63,21,5,,2.46,2.1
winter,small_,high__,8.1,9.8,14.34,0.73,22.5,23,45.5,0.85,2.5
spring,small_,high__,7.2,11.3,8.97,0.23,134.5,13,19,,0
spring,large_,medium,8.61,10.1,3.518,0.663,12.22,3.222,7,1.3,0
summer,large_,medium,8.22,9.5,2.3,0.672,9.87,4,6.123,0.8,0
winter,large_,medium,8.53,10.5,3,0.758,10.35,4.1,,4,0
summer,large_,medium,8.4,10,3.51,0.866,29.65,5.8,15,2.86,0
winter,large_,high__,8.1,10.9,9.056,0.825,41,20,58,,0
summer,medium,high__,8.12,10.2,7.613,0.699,33.56,28.034,49.658,2.2,0
winter,large_,low___,8.43,10.8,35.642,6.225,134,103.5,,45.375,2.3
winter,large_,low___,8.7,11.7,21.4656,3.765,91.45,38,83,17,0
summer,large_,low___,8.1,8.2,26.54,2.805,42.75,48.5,88.125,13.98,0
autumn,large_,low___,8.35,11.1,22.56,3.14,76.2,41,98.665,17.456,0
